*** SPRNt Results. Netlist: "m9.spt" Epoch: "1970-01-01T00:00:00Z" Reqested Tstop: 1 hr 40 min
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
2  23.00 1.997474e+00 1.183172e+02 1.441539e+01 7.177354e+02
3  23.00 1.696141e+00 5.381187e+01 1.109471e+01 7.177347e+02
4  23.00 1.493850e+00 3.798844e+01 7.773647e+00 7.177337e+02
5  23.00 1.304380e+00 1.435805e+01 4.451248e+00 7.177313e+02
6  23.00 1.233883e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  24.00 2.400000e+00 9.340772e+01 1.774054e+01 7.177405e+02
2  24.00 2.078906e+00 1.183866e+02 1.441990e+01 7.177399e+02
3  24.00 1.758291e+00 5.383860e+01 1.109920e+01 7.177392e+02
4  24.00 1.539652e+00 3.802730e+01 7.778075e+00 7.177381e+02
5  24.00 1.332128e+00 1.438145e+01 4.455538e+00 7.177356e+02
6  24.00 1.254144e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  25.00 2.500000e+00 9.343618e+01 1.774531e+01 7.177453e+02
2  25.00 2.159741e+00 1.184603e+02 1.442467e+01 7.177447e+02
3  25.00 1.819585e+00 5.386703e+01 1.110397e+01 7.177440e+02
4  25.00 1.585591e+00 3.806907e+01 7.782833e+00 7.177429e+02
5  25.00 1.361305e+00 1.440696e+01 4.460212e+00 7.177402e+02
6  25.00 1.276264e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  26.00 2.600000e+00 9.346631e+01 1.775037e+01 7.177504e+02
2  26.00 2.239559e+00 1.185383e+02 1.442973e+01 7.177497e+02
3  26.00 1.879089e+00 5.389717e+01 1.110903e+01 7.177490e+02
4  26.00 1.630394e+00 3.811354e+01 7.787894e+00 7.177479e+02
5  26.00 1.391034e+00 1.443430e+01 4.465217e+00 7.177452e+02
6  26.00 1.299905e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  27.00 2.700000e+00 9.349819e+01 1.775572e+01 7.177557e+02
2  27.00 2.318575e+00 1.186208e+02 1.443508e+01 7.177551e+02
3  27.00 1.937181e+00 5.392904e+01 1.111438e+01 7.177544e+02
4  27.00 1.674234e+00 3.816056e+01 7.793243e+00 7.177533e+02
5  27.00 1.421098e+00 1.446323e+01 4.470507e+00 7.177505e+02
6  27.00 1.324676e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  28.00 2.800000e+00 9.353184e+01 1.776137e+01 7.177614e+02
2  28.00 2.397318e+00 1.187080e+02 1.444072e+01 7.177607e+02
3  28.00 1.994823e+00 5.396264e+01 1.112002e+01 7.177600e+02
4  28.00 1.717895e+00 3.821004e+01 7.798868e+00 7.177589e+02
5  28.00 1.451644e+00 1.449362e+01 4.476060e+00 7.177561e+02
6  28.00 1.350326e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  29.00 2.900000e+00 9.356725e+01 1.776731e+01 7.177673e+02
2  29.00 2.476289e+00 1.187997e+02 1.444666e+01 7.177667e+02
3  29.00 2.052915e+00 5.399795e+01 1.112595e+01 7.177660e+02
4  29.00 1.762138e+00 3.826196e+01 7.804767e+00 7.177648e+02
5  29.00 1.482904e+00 1.452547e+01 4.481873e+00 7.177619e+02
6  29.00 1.376751e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
